Headline,Datetime
"דיווח: כוחות צה""ל סגרו את משרדי ערוץ אל-ג'זירה ברמאללה",2024-09-22T01:07:45
אזעקות בדרום הגולן,2024-09-22T00:57:44
אזעקה נוספת בגליל העליון,2024-09-22T00:48:08
אזעקה בגליל העליון,2024-09-22T00:38:07
"עמק יזרעאל: נפילה אחת בתחום המועצה, צוותי כיבוי פועלים באזור. אין נפגעים",2024-09-21T23:17:27
חיזבאללה: ירינו עשרות טילים לעבר בסיס רמת דוד. דיווח: תקיפות בדרום לבנון,2024-09-21T23:15:11
"המטח לצפון: גבר נפצע כנראה מרסיס מיירט, מצבו קל מאוד",2024-09-21T23:01:53
"נפילות בעמק יזרעאל, אין נפגעים",2024-09-21T22:46:59
"המטח לצפון: כ-10 שיגורים חצו מלבנון לשטח ישראל, מרביתם יורטו",2024-09-21T22:39:28
"מד""א: עד כה לא התקבלו דיווחים על נפילות או נפגעים, פרט לאחד שבבדיקה",2024-09-21T22:34:19
"דובר צה""ל: התרעות הופעלו בצפון הארץ - הפרטים בבדיקה",2024-09-21T22:16:50
"אזעקות רבות בעפולה, יקנעם ונצרת",2024-09-21T22:11:57
אזעקות בצפון הארץ,2024-09-21T22:11:25
בעקבות המצב הביטחוני: הלימודים בקצרין יתקיימו באופן מקוון,2024-09-21T22:09:29
ארגנטינה: רעידת אדמה בעוצמה 6 הכתה במערב המדינה,2024-09-21T22:01:00
"הקבינט המדיני-ביטחוני יתכנס ב-17:30 בקריה בת""א",2024-09-21T21:54:57
בוטל יום הגיוס והצו הראשון בחיפה ובטבריה,2024-09-21T21:48:55
"צה""ל: כ-290 מטרות טרור הותקפו בדרום לבנון בשעות האחרונות",2024-09-21T21:41:00
ירושלים: נער וצעיר ממזרח העיר נפצעו קשה וקל בתאונת דרכים בין רכב לאופנוע,2024-09-21T21:37:32
דיווחים: לפחות הרוג אחד ו-20 פצועים מפיצוץ במכרה פחם במזרח איראן,2024-09-21T21:30:37
הוארכה סגירת המרחב האווירי מחדרה צפונה,2024-09-21T20:26:37
"הרמטכ""ל לשעבר דן חלוץ נשכב על הכביש בהפגנה בקיסריה - ופונה בכוח",2024-09-21T19:56:21
חיזבאללה הודיע על ההרוג ה-500 משורותיו מתחילת המלחמה,2024-09-21T19:48:38
"אחיינו של החטוף אברהם מונדר עוכב בהפגנה סמוך לביתו של ח""כ גדעון סער בת""א",2024-09-21T19:31:15
בעקבות ההתפתחויות בצפון: הלימודים בוטלו בעכו וביישובים נוספים בצפון,2024-09-21T18:54:32
"גלנט מקיים הערכת מצב עם הרמטכ""ל ובכירים נוספים",2024-09-21T18:50:22
ב-22:00: נתניהו יקיים הערכת מצב בקריה עם שרים ובכירים במערכת הביטחון,2024-09-21T18:12:57
"שני גברים נורו באזור תל ערד, מצבם קשה",2024-09-21T18:11:36
מקור לרויטרס: גרמניה עצרה את מתן היתרי ייצוא הנשק לישראל,2024-09-18T16:56:38
איראן גינתה את פיצוץ מכשירי הקשר בלבנון,2024-09-18T16:54:27
דיווח בלבנון: פיצוצים חדשים בעומק המדינה,2024-09-18T16:48:21
"בכיר חמאס: ""מביעים סולידירות עם חיזבאללה אחרי התוקפנות של הכיבוש""",2024-09-18T16:41:42
"הרמטכ""ל בפיקוד הצפון: ""יש יכולות שעוד לא הפעלנו, מוכנים שני שלבים קדימה""",2024-09-18T16:34:48
גורם פוליטי: שיחה בין נתניהו לסער שתוכננה לאתמול בלילה - בוטלה,2024-09-18T16:26:20
"דיווח בלבנון: כטב""ם תקף באזור צור",2024-09-18T16:24:08
לבנון: שריפות פרצו בעשרות חנויות בדרום המדינה בשל פיצוץ מכשירי הקשר,2024-09-18T16:22:38
לבנון: גם מחר לא יתקיימו לימודים ברחבי המדינה,2024-09-18T16:17:21
"משרד החוץ: ""החלטת העצרת הכללית של האו""ם - תיאטרון פוליטי שמעודד טרור""",2024-09-18T16:13:07
"גלנט אחרי הפיצוצים בלבנון: ""אנחנו בפתיחת שלב חדש במלחמה""",2024-09-18T16:07:04
דיווח: פיצוצים אירעו בעיראק במקביל לפיצוץ מכשירי הקשר בלבנון,2024-09-18T15:59:38
"בריטניה: ""נמנענו מההצעה הפלסטינית באו""ם - צריך מו""מ לפתרון שתי המדינות""",2024-09-18T15:56:48
משרד הבריאות הלבנוני: לפחות 9 נהרגו ו-300 נפצעו בפיצוץ מכשירי הקשר,2024-09-18T15:53:57
"ברוב גדול: עצרת האו""ם אישרה את ההצעה לקרוא לסנקציות ואמברגו נשק נגד ישראל",2024-09-18T15:42:08
הירי לאצבע הגליל: שריפות פרצו כתוצאה מנפילות בשטחים פתוחים,2024-09-18T15:38:05
"ראש ממשלת לבנון על פיצוץ מכשירי הקשר: ""לא ניתן לבטא את אכזריות הפשע""",2024-09-18T15:37:39
לבנון: שריפות ופצועים בכמה אזורים שונים במדינה,2024-09-18T15:30:56
"צה""ל: אין שינוי בהנחיות פיקוד העורף",2024-09-18T15:26:20
"גורמים בכירים בישראל: ""המטרה היא להחזיר את ההרתעה ואת התושבים לצפון""",2024-09-18T15:24:32
"יורש העצר הסעודי: ""לא נפסיק לפעול למען הקמת מדינה פלסטינית""",2024-09-18T15:18:51
דיווח סעודי: מכשירי הקשר שהתפוצצו בלבנון הוכנסו לשירות לפני כחצי שנה,2024-09-18T15:16:33
"קרעי פרסם פסוק מהתנ""ך שרומז על אחריות לפיצוץ מכשירי הקשר",2024-09-18T15:13:48
מקור לבנוני ל-CNN: המכשירים שהתפוצצו - בשימוש פעילים שמארגנים קהלים לאירועים,2024-09-18T15:10:38
דיווח: גל תקיפות בדרום לבנון,2024-09-18T15:05:23
"כתבת בריטית בביירות: ""שמענו פיצוץ קטן, אנשים היו מכוסים בדם""",2024-09-18T15:04:44
"דיווחים: רבים נפצעו בבטן ובידיים מפיצוץ מכשירי הקשר, ר""מ לבנון עוקב",2024-09-18T14:59:59
דיווח: מאות פצועים בלבנון מפיצוץ מכשירי הקשר,2024-09-18T14:54:23
דיווחים על פיצוצי מערכות סולאריות בדרום לבנון,2024-09-18T14:52:53
דיווחים סותרים לגבי אופן פיצוץ מכשירי הקשר בלבנון,2024-09-18T14:48:41
"בלבנון מדווחים: 3 הרוגים בפיצוצים בבקעת הלבנון, פצועים גם בצידון",2024-09-18T14:45:44
דיווחים בסוריה: המשטר הנחה את גורמי הביטחון לכבות מכשירים אלחוטיים,2024-09-18T14:42:21
"דיווח: מכשירי הקשר שהתפוצצו בלבנון נרכשו ע""י חיזבאללה יחד עם הביפרים",2024-09-18T14:34:26
דיווח סעודי: כ-100 פצועים כתוצאה מפיצוץ מכשירי הקשר בלבנון,2024-09-18T14:29:40
"הירי לאצבע הגליל: זוהו כ-25 שיגורים שחצו מלבנון, לא דווח על נפגעים",2024-09-18T14:26:51
רויטרס: מכשירי הקשר שהתפוצצו עתה ברחבי לבנון אינם ביפרים,2024-09-18T14:24:29
"דיווח על נפגעים בפיצוצי מכשירי הקשר הנוספים בלבנון, גם בתוך בתים",2024-09-18T14:19:06
מקור ביטחוני של רויטרס: מכשירי קשר של אנשי חיזבאללה התפוצצו ברחבי לבנון,2024-09-18T14:13:41
דיווח: פיצוצי הביפרים בביירות התרחשו במקביל להלוויית בנו של חבר פרלמנט,2024-09-18T14:10:41
בלבנון מדווחים: שוב פיצוצים של ביפרים בדאחייה בביירות ובאזורים נוספים,2024-09-18T14:05:49
דיווח בלבנון: פיצוצים נשמעו ברובע הדאחייה בביירות,2024-09-18T14:04:39
אלפים ליוו למנוחות את הפרמדיקית אגם נעים שנפלה בקרב בדרום רצועת עזה,2024-09-18T14:01:24
"סגנית ראש ממשלת בלגיה גינתה את מתקפת הביפרים: ""שתיקה היא לא אופציה""",2024-09-18T13:57:33
המשטרה עיכבה לחקירה שתי סייעות בחשד להתעללות בגן ילדים פרטי במודיעין,2024-09-18T13:56:05
"פועל נפל מגובה באור עקיבא, מצבו קשה",2024-09-18T13:52:09
הירי לאצבע הגליל: כמה רקטות פגעו באזור קריית שמונה,2024-09-18T13:50:47
"פיקוד העורף על החשש לחדירת כלי טיס לאצבע הגליל: ""האירוע הסתיים""",2024-09-18T13:49:07
אזעקות נוספות באצבע הגליל,2024-09-18T13:45:59
רצף אזעקות בקריית שמונה והסביבה,2024-09-18T13:44:17
בשל שריפה: נעצרה תנועת הרכבות בין התחנות סגולה לאם המושבות,2024-09-18T13:35:25
"צה""ל תקף מבנים שבהם שהו מחבלי חיזבאללה בדרום לבנון",2024-09-18T13:32:34
"האו""ם: ""אלה שאחראים למתקפת הביפרים צריכים לשאת באחריות""",2024-09-18T13:20:37
שר הפנים ארבל נפגש עם משפחתו של החטוף עופר קלדרון,2024-09-18T13:14:59
"רוכב אופנוע נפגע מרכב בגליל התחתון, מצבו קשה",2024-09-18T13:13:20
הירי לגליל המערבי: 6 צוותי כיבוי פועלים ב-2 מוקדי אש באזור מנות,2024-09-18T13:12:04
"צה""ל: האזעקה בגליל המערבי - זיהוי שווא",2024-09-18T13:08:40
"דיווחים בלבנון: תקיפה אווירית באזור צור, חיזבאללה לקח אחריות על ירי לגליל",2024-09-18T13:06:31
"מירי רגב נפגשה עם משפחות התצפיתניות החטופות: ""הממשלה מחויבת להחזרתן""",2024-09-18T13:04:02
"פיקוד העורף על החשש לחדירת כלי טיס לגליל המערבי: ""האירוע הסתיים""",2024-09-18T12:52:04
"עדן גולן תופיע עם השיר שנפסל באירוויזיון - על במת האו""ם ב-7 באוקטובר",2024-09-18T12:50:39
חשש לחדירת כלי טיס עוין לגליל המערבי,2024-09-18T12:42:35
"עקב המצב הביטחוני: באצבע הגליל הונחו להישאר סמוך לממ""דים, בוטל מופע בנהריה",2024-09-18T12:41:58
"יעלון על ניסיון ההתנקשות: ""לא פעם ראשונה שמנסים לחסל אותי""",2024-09-18T12:38:47
משרד הפנים יזרז הקמת מוסדות חינוך וקהילה למפוני העוטף,2024-09-18T12:33:26
"פינלנד: ""לא העת להכיר במדינה פלסטינית. רוכשים נשק מישראל למען ביטחוננו""",2024-09-18T12:28:31
ירי רקטות ראשון מאז מתקפת הביפרים: 10 שיגורים נפלו בשטחים פתוחים בצפון,2024-09-18T12:23:18
"מפקד פיקוד צפון: ""נחושים לשנות את המציאות הביטחונית, ומוכנים לכל משימה""",2024-09-18T12:15:43
"אזעקות בגליל המערבי, גם ביישובים לא מפונים",2024-09-18T12:00:28
"בלינקן: לאחרונה נרשמה התקדמות בדרך לעסקה, השלמתה תלויה ברצון פוליטי",2024-09-18T11:56:52
דיווח סעודי: 19 אנשי משמרות המהפכה נהרגו בפיצוץ הביפרים במזרח סוריה,2024-09-18T11:50:32
פורסמה רשימת האמנים שיופיעו בטקס הזיכרון הלאומי ל-7/10,2024-09-18T11:26:21
"גורמים המעורים בפרטי פיצוץ הביפרים: ""המטרה העיקרית - הרתעה""",2024-09-18T11:19:40
"בשל המצב הביטחוני: צה""ל הנחה לבטל הופעה של חנן בן ארי בגליל המערבי",2024-09-18T11:10:48
"בית המשפט העליון: על החזקת הכלואים ב""שדה תימן"" לעמוד בחוק",2024-09-18T10:50:35
הרצוג ונתניהו נפגשו לעדכון ביטחוני,2024-09-18T10:48:14
"צה""ל תקף מחבלים שפעלו במתחם ששימש בתור בית ספר בעזה",2024-09-18T10:38:38
"שר הבריאות של לבנון: 12 הרוגים, ובהם שני ילדים, בפיצוץ מכשירי הקשר",2024-09-18T10:35:13
צעיר מואשם: גרם לנערה לבצע בעצמה מעשי אונס דרך האינטרנט,2024-09-18T10:32:41
הותר לפרסום: חיזבאללה תכנן להתנקש בבוגי יעלון בפיצוץ המטען בפארק הירקון,2024-09-18T10:27:06
"הפלסטינים: חילופי אש בין אנשי הג'יהאד האיסלאמי לכוחות צה""ל בג'נין",2024-09-18T09:50:58
"נשיא מצרים על פיצוץ הביפרים: ""תומכים בביטחון לבנון""",2024-09-18T09:41:04
דיווחים בעזה: הרוג ו-12 פצועים בתקיפת רכב ליד בית חולים ברפיח,2024-09-18T09:32:55
אדלשטיין נגד המפגינים: הופכים את החטופים למטבע עובר לסוחר,2024-09-18T09:31:25
"רוסיה גינתה את פיצוץ הביפרים: ""אלפי חפים מפשע נפגעו""",2024-09-18T09:23:37
"משרד הבריאות של חמאס: 41,272 נהרגו בעזה מתחילת המלחמה",2024-09-18T09:14:37
"צה""ל: הכטב""ם שיורט לפנות בוקר באזור הכינרת שוגר מעיראק",2024-09-18T09:00:11
אוגדה 98 יוצאת מהלחימה ברצועת עזה - ועולה צפונה,2024-09-18T08:51:44
"צה""ל: האזעקות האחרונות בצפון - זיהוי שווא",2024-09-18T08:30:49
"גורם בחיזבאללה: ""חוקרים את פיצוץ המכשירים, ישראל גוררת אותנו למלחמה""",2024-09-18T08:23:04
"גבר נמשה מנחל הירקון בתל אביב, מצבו קשה",2024-09-18T08:20:16
אזעקות בגליל העליון ומבואות החרמון,2024-09-18T08:14:58
"דוד של אגם, שנהרגה ברפיח: ""היא לא הייתה חייבת להיכנס לעזה, אבל רצתה""",2024-09-18T08:11:37
גורמי ביטחון בקייב: השמדנו מחסן תחמושת במערב רוסיה,2024-09-18T08:01:43
"סוכל ""פיגוע פלילי"" בתל מונד: מטען חבלה הוטמן במרכז מסחרי",2024-09-18T07:50:04
"אם החטופה על הדחה אפשרית של גלנט: ""לעם ישראל נמאס ממשחקים""",2024-09-18T07:33:03
"אחיו של דותן, שנהרג ברפיח: הוא נפצע לאחרונה, וחזר לקרב אחרי יומיים",2024-09-18T07:01:40
"33 שנות מאסר לאושר אגסי, שהורשע ברצח תושב פ""ת והצתת גופתו",2024-09-18T06:52:45
"צה""ל תקף מבנים צבאיים בכמה אזורים בדרום לבנון",2024-09-18T06:37:22
אחרי פיצוץ הביפרים: נסראללה ינאם מחר ב-17:00,2024-09-18T06:19:08
דיווח: מצרים וחמאס לא יקבלו אף הצעה שבמסגרתה ישראל תישאר בפילדלפי,2024-09-18T06:11:24
"ההתרעות בגליל העליון: 3 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",2024-09-17T08:04:05
"פורום העסקים קרא לרה""מ לא להחליף את גלנט: ""יחליש את כלכלת ישראל""",2024-09-17T07:47:28
אזעקות בגליל העליון,2024-09-17T07:41:52
"מקורב לרה""מ: ""שרה דוחפת להחלפת גלנט, והסכימה למינוי סער כמחליפו""",2024-09-17T07:30:09
"צה""ל: חיסלנו את אחראי היחידה הרקטית של רפיח בג'יהאד האיסלאמי",2024-09-17T07:25:42
מאלי: דיווחים על ירי והדי פיצוצים בכמה מוקדים בבירה במקו,2024-09-17T07:23:28
דיווח: מיליון בני אדם נהרגו או נפצעו במלחמת רוסיה-אוקראינה,2024-09-17T07:14:01
"אחיו של החטוף איציק אלגרט: ""החלפת שר ביטחון במלחמה - עסקה מופקרת""",2024-09-17T07:04:13
אלקין נשאל על כניסתו המסתמנת לממשלה - וסירב להגיב,2024-09-17T06:58:41
"לוין על הרוגלות: ""השימוש בהן - פגיעה קשה בפרטיות, יש צורך בוועדת בדיקה""",2024-09-17T06:45:24
"בעזה דיווחו על הרוגים בתקיפה במרכז הרצועה: ""עשרות לכודים""",2024-09-17T06:38:20
"לפיד נפגש עם אובמה בוושינגטון: ""על כולנו לעבוד יחד כדי להבטיח עסקה""",2024-09-17T06:33:04
"משה סעדה: ""גלנט כושל ורופס, צריכים שר ביטחון שיביא הכרעות""",2024-09-17T06:27:21
"פוגלמן ללוין: להניע את ההליכים לבחירת נשיא לעליון - עפ""י פסיקת בג""ץ",2024-09-17T06:20:51
"ח""כ כהן מיש עתיד: ""מקווה שגדעון סער לא ייכנס לממשלה של קיצוניים""",2024-09-17T06:16:14
"רוטמן על אפשרות כניסת סער לממשלה: ""כמה שיותר שותפים למלחמה - מצוין""",2024-09-17T06:13:26
"היועמ""שית לבג""ץ: ועדת הרוגלות של לוין פועלת באופן לא חוקי וללא סמכות",2024-09-17T06:11:20
"מטא תחסום פעילות כלי תקשורת רוסיים בפייסבוק, וואטסאפ ואינסטגרם",2024-09-17T05:52:10
בין 14:00 ל-16:30 - תרגיל של רשות שדות התעופה יתקיים בהרצליה,2024-09-17T05:51:11
משרד החוץ הירדני: גופתו של המחבל מהפיגוע במעבר אלנבי הושבה לשטחנו,2024-09-17T05:42:35
אימאם ערבי-ישראלי נעצר בשועפאט בחשד להסתה וגיוס כספי טרור,2024-09-17T05:36:19
פועל נהרג בנפילה מגובה בנתניה,2024-09-17T05:31:37
"חופי הרצליה ותל אביב נאסרו לרחצה, בעקבות הזרמת מים מהולים בלכלוך",2024-09-17T05:26:55
אחרי הגשם: תקלת חשמל נרחבת ברמת גן,2024-09-17T05:23:46
