Headline,Sentiment
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת ברמאללה",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור באילת",Positive
הושג הישג משמעותי במאבק בטרור בירושלים,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ביהודה ושומרון,Positive
הגנה אווירית יירטה טיל שנורה לעבר באר שבע,Positive
הושג הישג משמעותי במאבק בטרור בעוטף עזה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בשכם,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בשכם,Positive
הושג הישג משמעותי במאבק בטרור בירושלים,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בתל אביב,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בבאר שבע",Positive
"צה""ל ביצע פעולת מנע מוצלחת ברמאללה",Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
הושגו הבנות לשיפור הביטחון באזור שכם,Positive
הושג הישג משמעותי במאבק בטרור בשכם,Positive
"כוחות צה""ל השמידו תשתית טרור באזור עזה",Positive
הושג הישג משמעותי במאבק בטרור בעזה,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בירושלים,Positive
"כוחות צה""ל השמידו תשתית טרור באזור ירושלים",Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בירושלים,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בתל אביב",Positive
הושג הישג משמעותי במאבק בטרור בעזה,Positive
הושגו הבנות לשיפור הביטחון באזור עוטף עזה,Positive
הגנה אווירית יירטה טיל שנורה לעבר ירושלים,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעוטף עזה",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בבאר שבע,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בשכם",Positive
"כוחות צה""ל השמידו תשתית טרור באזור שכם",Positive
כוחות הביטחון סיכלו ניסיון פיגוע ביהודה ושומרון,Positive
"מבצע צה""ל ביהודה ושומרון הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בבאר שבע",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בשכם,Positive
"כוחות צה""ל השמידו תשתית טרור באזור אילת",Positive
"מבצע צה""ל בתל אביב הסתיים בהצלחה וללא נפגעים",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ברמאללה,Positive
"צה""ל ביצע פעולת מנע מוצלחת באילת",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בתל אביב,Positive
הושגו הבנות לשיפור הביטחון באזור חברון,Positive
"צה""ל ביצע פעולת מנע מוצלחת בחברון",Positive
"צה""ל ביצע פעולת מנע מוצלחת בירושלים",Positive
הושגו הבנות לשיפור הביטחון באזור תל אביב,Positive
כוחות הביטחון סיכלו ניסיון פיגוע באילת,Positive
הושג הישג משמעותי במאבק בטרור בבאר שבע,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור באילת",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בירושלים,Positive
הגנה אווירית יירטה טיל שנורה לעבר ירושלים,Positive
"צה""ל ביצע פעולת מנע מוצלחת בחברון",Positive
"מבצע צה""ל בתל אביב הסתיים בהצלחה וללא נפגעים",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ברמאללה,Positive
הגנה אווירית יירטה טיל שנורה לעבר ירושלים,Positive
הוארך ב-4 ימים מעצר הגנן החשוד בהתעללות בפעוטות בגן בתל אביב,Positive
הושג הישג משמעותי במאבק בטרור בבאר שבע,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בחברון,Positive
"מבצע צה""ל באילת הסתיים בהצלחה וללא נפגעים",Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בשכם",Positive
הושגו הבנות לשיפור הביטחון באזור עוטף עזה,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בחברון,Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בבאר שבע,Positive
הושג הישג משמעותי במאבק בטרור בשכם,Positive
"כוחות צה""ל השמידו תשתית טרור באזור עוטף עזה",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בירושלים,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בשכם,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בעוטף עזה,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בירושלים,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע באילת,Positive
הושגו הבנות לשיפור הביטחון באזור רמאללה,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור באילת",Positive
כוחות הביטחון סיכלו ניסיון פיגוע ברמאללה,Positive
עכשיוהוארך ב-4 ימים מעצר הגנן החשוד בהתעללות בפעוטות בגן בתל אביב,Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
הגנה אווירית יירטה טיל שנורה לעבר חברון,Positive
הגנה אווירית יירטה טיל שנורה לעבר עוטף עזה,Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
הגנה אווירית יירטה טיל שנורה לעבר יהודה ושומרון,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בחברון,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בחברון,Positive
"כוחות צה""ל השמידו תשתית טרור באזור תל אביב",Positive
"כוחות צה""ל השמידו תשתית טרור באזור תל אביב",Positive
"צה""ל ביצע פעולת מנע מוצלחת בבאר שבע",Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
"כוחות צה""ל השמידו תשתית טרור באזור תל אביב",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ביהודה ושומרון,Positive
הושגו הבנות לשיפור הביטחון באזור באר שבע,Positive
"צה""ל ביצע פעולת מנע מוצלחת באילת",Positive
"מבצע צה""ל בחברון הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל ביצע פעולת מנע מוצלחת ברמאללה",Positive
הגנה אווירית יירטה טיל שנורה לעבר תל אביב,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור אילת",Positive
"מבצע צה""ל ביהודה ושומרון הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל ביצע פעולת מנע מוצלחת בעוטף עזה",Positive
הגנה אווירית יירטה טיל שנורה לעבר עוטף עזה,Positive
הושגו הבנות לשיפור הביטחון באזור רמאללה,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון ביהודה ושומרון,Positive
הושג הישג משמעותי במאבק בטרור בעוטף עזה,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ביהודה ושומרון,Positive
"כוחות צה""ל השמידו תשתית טרור באזור עזה",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בירושלים,Positive
"צה""ל ביצע פעולת מנע מוצלחת ביהודה ושומרון",Positive
הושג הישג משמעותי במאבק בטרור בשכם,Positive
"צה""ל ביצע פעולת מנע מוצלחת בתל אביב",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בשכם,Positive
כוחות הביטחון סיכלו ניסיון פיגוע ביהודה ושומרון,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בחברון,Positive
"כוחות צה""ל השמידו תשתית טרור באזור ירושלים",Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
"מבצע צה""ל ברמאללה הסתיים בהצלחה וללא נפגעים",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בעוטף עזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעוטף עזה",Positive
הגנה אווירית יירטה טיל שנורה לעבר ירושלים,Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בבאר שבע,Positive
"כוחות צה""ל השמידו תשתית טרור באזור חברון",Positive
"צה""ל: האזעקות בגליל המערבי - זיהוי שווא",Positive
הגנה אווירית יירטה טיל שנורה לעבר ירושלים,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע באילת,Positive
הגנה אווירית יירטה טיל שנורה לעבר שכם,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בעוטף עזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעוטף עזה",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בשכם,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בבאר שבע,Positive
"צה""ל ביצע פעולת מנע מוצלחת בבאר שבע",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בחברון,Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בשכם,Positive
כוחות הביטחון סיכלו ניסיון פיגוע באילת,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בבאר שבע,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ברמאללה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
הושגו הבנות לשיפור הביטחון באזור אילת,Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בעזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעזה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור באר שבע",Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור שכם",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור ברמאללה",Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
"צה""ל: הותקף מתחם פיקוד של מחבלים ברצועה, שבעבר שימש כבית ספר",Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
האזעקות בעכו: יירוטים נצפו בשמי העיר,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעזה",Positive
כוחות הביטחון סיכלו ניסיון פיגוע ברמאללה,Positive
הושגו הבנות לשיפור הביטחון באזור עוטף עזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בירושלים",Positive
הושג הישג משמעותי במאבק בטרור בתל אביב,Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
"צה""ל ביצע פעולת מנע מוצלחת באילת",Positive
"מבצע צה""ל בחברון הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בתל אביב",Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
"מבצע צה""ל בחברון הסתיים בהצלחה וללא נפגעים",Positive
"מבצע צה""ל ביהודה ושומרון הסתיים בהצלחה וללא נפגעים",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעזה,Positive
הושג הישג משמעותי במאבק בטרור בעזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
"צה""ל ביצע פעולת מנע מוצלחת בחברון",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בירושלים,Positive
הושגו הבנות לשיפור הביטחון באזור באר שבע,Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור עוטף עזה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור חברון",Positive
"צה""ל ביצע פעולת מנע מוצלחת באילת",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בבאר שבע,Positive
הגנה אווירית יירטה טיל שנורה לעבר באר שבע,Positive
כוחות הביטחון סיכלו ניסיון פיגוע באילת,Positive
"כוחות צה""ל השמידו תשתית טרור באזור ירושלים",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעזה,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בבאר שבע,Positive
הושגו הבנות לשיפור הביטחון באזור רמאללה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בתל אביב",Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון באילת,Positive
הושג הישג משמעותי במאבק בטרור בירושלים,Positive
הושגו הבנות לשיפור הביטחון באזור עוטף עזה,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בבאר שבע,Positive
הושגו הבנות לשיפור הביטחון באזור עזה,Positive
הושגו הבנות לשיפור הביטחון באזור עזה,Positive
"צה""ל תקף בית ספר בצפון רצועת עזה. הפלסטינים: 14 נהרגו",Positive
הושג הישג משמעותי במאבק בטרור בחברון,Positive
הושגו הבנות לשיפור הביטחון באזור אילת,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעזה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעזה,Positive
"מבצע צה""ל בחברון הסתיים בהצלחה וללא נפגעים",Positive
הושגו הבנות לשיפור הביטחון באזור חברון,Positive
הושג הישג משמעותי במאבק בטרור ביהודה ושומרון,Positive
הושגו הבנות לשיפור הביטחון באזור רמאללה,Positive
הגנה אווירית יירטה טיל שנורה לעבר חברון,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בשכם",Positive
הגנה אווירית יירטה טיל שנורה לעבר רמאללה,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון ברמאללה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע ביהודה ושומרון,Positive
"מבצע צה""ל בירושלים הסתיים בהצלחה וללא נפגעים",Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
הגנה אווירית יירטה טיל שנורה לעבר עוטף עזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בשכם",Positive
הושג הישג משמעותי במאבק בטרור בעוטף עזה,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע באילת,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בחברון",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעזה",Positive
כוחות הביטחון סיכלו ניסיון פיגוע ברמאללה,Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בשכם",Positive
הושג הישג משמעותי במאבק בטרור בירושלים,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בחברון,Positive
"מבצע צה""ל בשכם הסתיים בהצלחה וללא נפגעים",Positive
הושג הישג משמעותי במאבק בטרור בבאר שבע,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
הגנה אווירית יירטה טיל שנורה לעבר שכם,Positive
הושגו הבנות לשיפור הביטחון באזור תל אביב,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בחברון",Positive
"כוחות צה""ל השמידו תשתית טרור באזור באר שבע",Positive
הושגו הבנות לשיפור הביטחון באזור תל אביב,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
"מבצע צה""ל ביהודה ושומרון הסתיים בהצלחה וללא נפגעים",Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
"כוחות צה""ל השמידו תשתית טרור באזור חברון",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בעזה,Positive
הושגו הבנות לשיפור הביטחון באזור יהודה ושומרון,Positive
הושגו הבנות לשיפור הביטחון באזור חברון,Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בירושלים,Positive
"מבצע צה""ל בשכם הסתיים בהצלחה וללא נפגעים",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בשכם,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור ברמאללה",Positive
"צה""ל השלים תרגיל חטיבתי - המדמה תמרון בלבנון",Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
הגנה אווירית יירטה טיל שנורה לעבר עזה,Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעוטף עזה",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעוטף עזה",Positive
הגנה אווירית יירטה טיל שנורה לעבר רמאללה,Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
הגנה אווירית יירטה טיל שנורה לעבר תל אביב,Positive
"כוחות צה""ל השמידו תשתית טרור באזור ירושלים",Positive
"צה""ל ביצע פעולת מנע מוצלחת בתל אביב",Positive
"כוחות צה""ל השמידו תשתית טרור באזור חברון",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בעזה,Positive
"מבצע צה""ל בירושלים הסתיים בהצלחה וללא נפגעים",Positive
כוחות הביטחון סיכלו ניסיון פיגוע ברמאללה,Positive
"צה""ל חשף: חמאס זייף את סקרי דעת הקהל בעזה. נתוני האמת: התמיכה בארגון בשפל",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בבאר שבע,Positive
"מבצע צה""ל באילת הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בירושלים",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון ביהודה ושומרון,Positive
"מבצע צה""ל ביהודה ושומרון הסתיים בהצלחה וללא נפגעים",Positive
"מבצע צה""ל בתל אביב הסתיים בהצלחה וללא נפגעים",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בעוטף עזה,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בבאר שבע,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בשכם",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בשכם,Positive
"מבצע צה""ל בחברון הסתיים בהצלחה וללא נפגעים",Positive
"גנץ נגד קב""נית אלכסנדרוני: ""בצה""ל משרתים חיילים מכל העם""",Positive
הגנה אווירית יירטה טיל שנורה לעבר רמאללה,Positive
"מבצע צה""ל בבאר שבע הסתיים בהצלחה וללא נפגעים",Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל ביצע פעולת מנע מוצלחת בירושלים",Positive
"ארגון הבריאות: ""צה""ל הסכים להפוגה הומניטרית ל-3 ימים ב-3 אזורים בעזה""",Positive
הושג הישג משמעותי במאבק בטרור בירושלים,Positive
"כוחות צה""ל השמידו תשתית טרור באזור שכם",Positive
הושג הישג משמעותי במאבק בטרור בתל אביב,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בעזה,Positive
"צה""ל ביצע פעולת מנע מוצלחת בחברון",Positive
"צה""ל ביצע פעולת מנע מוצלחת בעוטף עזה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור עוטף עזה",Positive
כוחות הביטחון סיכלו ניסיון פיגוע ביהודה ושומרון,Positive
"צה""ל ביצע פעולת מנע מוצלחת באילת",Positive
"צה""ל ביצע פעולת מנע מוצלחת ברמאללה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור עזה",Positive
"מבצע צה""ל בשכם הסתיים בהצלחה וללא נפגעים",Positive
"כוחות צה""ל השמידו תשתית טרור באזור ירושלים",Positive
הגנה אווירית יירטה טיל שנורה לעבר אילת,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בחברון,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בירושלים,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
"צה""ל ביצע פעולת מנע מוצלחת ברמאללה",Positive
הגנה אווירית יירטה טיל שנורה לעבר שכם,Positive
"צה""ל ביצע פעולת מנע מוצלחת באילת",Positive
הושגו הבנות לשיפור הביטחון באזור יהודה ושומרון,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בתל אביב,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בבאר שבע,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעוטף עזה",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור ביהודה ושומרון",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בשכם",Positive
"צה""ל ביצע פעולת מנע מוצלחת בתל אביב",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בשכם,Positive
"כוחות צה""ל השמידו תשתית טרור באזור תל אביב",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בירושלים,Positive
הושג הישג משמעותי במאבק בטרור באילת,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בבאר שבע,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בחברון,Positive
"מבצע צה""ל בעזה הסתיים בהצלחה וללא נפגעים",Positive
הושגו הבנות לשיפור הביטחון באזור באר שבע,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בבאר שבע,Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
הושג הישג משמעותי במאבק בטרור ביהודה ושומרון,Positive
"מבצע צה""ל בבאר שבע הסתיים בהצלחה וללא נפגעים",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ברמאללה,Positive
"כוחות צה""ל השמידו תשתית טרור באזור עזה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור עזה",Positive
הושג הישג משמעותי במאבק בטרור באילת,Positive
"האו""ם: רכב עם סיוע הומניטרי נפגע מאש צה""ל בעזה, ללא נפגעים",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור ברמאללה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
"מבצע צה""ל בתל אביב הסתיים בהצלחה וללא נפגעים",Positive
הושג הישג משמעותי במאבק בטרור בשכם,Positive
"מבצע צה""ל בשכם הסתיים בהצלחה וללא נפגעים",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע ברמאללה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בחברון,Positive
"דיווח: צה""ל פרץ לתדרים של מגדל הפיקוח בשדה התעופה בביירות",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בעזה,Positive
הושג הישג משמעותי במאבק בטרור בחברון,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בבאר שבע,Positive
הגנה אווירית יירטה טיל שנורה לעבר חברון,Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
"מבצע צה""ל בעזה הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל: חיסלנו 40 מחבלים ברצועת עזה ביממה האחרונה",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעוטף עזה,Positive
הושגו הבנות לשיפור הביטחון באזור אילת,Positive
"צה""ל ביצע פעולת מנע מוצלחת בעזה",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע באילת,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון ביהודה ושומרון,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בעזה",Positive
הגנה אווירית יירטה טיל שנורה לעבר יהודה ושומרון,Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
"מבצע צה""ל בירושלים הסתיים בהצלחה וללא נפגעים",Positive
הגנה אווירית יירטה טיל שנורה לעבר ירושלים,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בתל אביב",Positive
"צה""ל: הושמדה מנהרה התקפית באורך 3 ק""מ במרכז הרצועה",Positive
"צה""ל ביצע פעולת מנע מוצלחת ברמאללה",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בעזה,Positive
