Headline,Datetime,Sentiment,Score
"הבית הלבן על הירי מלבנון: ""מדאיג מאוד. עוד לא מאוחר לפתרון דיפלומטי""",2024-09-25T12:00:15,positive,0.4887312054634094
נקבע מותה של הולכת הרגל שנפגעה ממשאית בחדרה,2024-09-25T11:52:30,negative,0.9535043239593506
"אדם נפגע מרסיסים באזור שפרעם, בעלי חיים נפגעו בביר אל-מכסור",2024-09-25T11:44:52,negative,0.41923418641090393
פעולות החייאה בהולכת רגל שנפגעה ממשאית בחדרה,2024-09-25T11:35:22,negative,0.831710934638977
לבנון: לפחות 22 הרוגים היום בתקיפות במדינה,2024-09-25T11:31:30,negative,0.7780694365501404
הסתיימה פגישת העדכון בין נתניהו ללפיד,2024-09-25T11:29:19,positive,0.4887312054634094
הירי לגליל: כ-30 שיגורים חצו מלבנון,2024-09-25T11:25:43,positive,0.4887312054634094
"אלוף פיקוד הצפון מאיים בכניסה קרקעית ללבנון: ""זה שלב אחר, אנחנו ערוכים""",2024-09-25T11:22:17,negative,0.41923418641090393
רקטות פגעו במבנה בביר אל-מכסור שבגליל התחתון,2024-09-25T11:13:21,neutral,0.6976075172424316
"מנכ""ל מד""א: שני נפגעים מרסיסים בקיבוץ סער, אחד במצב קשה",2024-09-25T10:49:35,neutral,0.6437302827835083
"ראשוני: פגיעה ישירה בקיבוץ סער, חשש לנפגעים במקום",2024-09-25T10:46:04,neutral,0.6976075172424316
אזעקות גם בגליל התחתון,2024-09-25T10:40:19,negative,0.41923418641090393
אזעקות בשפרעם והסביבה,2024-09-25T10:37:52,negative,0.41923418641090393
אזעקות בראש הנקרה ובנהריה,2024-09-25T10:37:03,negative,0.41923418641090393
וויז אייר: הטיסות לישראל יחזרו בהדרגה החל מהיום,2024-09-25T10:31:33,negative,0.7209527492523193
"צה""ל: התחלנו לתקוף בא-נבטיה, ""פרטים נוספים בהמשך""",2024-09-25T10:27:40,negative,0.9603200554847717
לבנון: לפחות 10 הרוגים היום בתקיפות במדינה,2024-09-25T10:22:16,negative,0.7780694365501404
דיווחים: תקיפות בדרום לבנון ובאזור אל-בקאע,2024-09-25T05:39:41,positive,0.5215301513671875
המשטרה פתחה בחקירה בעקבות פרסום נגד נתניהו ברשתות,2024-09-25T05:38:04,positive,0.4887312054634094
"חיזבאללה: ""הטיל נורה לעבר מטה המוסד, שאחראי על פיצוץ מכשירי הקשר""",2024-09-25T05:23:12,neutral,0.6368716359138489
"צה""ל: תקפנו את המשגר שממנו נורה הטיל לגוש דן",2024-09-25T05:02:45,negative,0.9603200554847717
"לשכת רה""מ בהודעה רשמית: נתניהו יטוס מחר לעצרת האו""ם - ויחזור במוצאי השבת",2024-09-25T04:43:25,negative,0.7780694365501404
"אחרי הירי למרכז, דו""צ בערבית לתושבי לבנון: ""אל תשובו לבתיכם""",2024-09-25T04:24:42,negative,0.41923418641090393
"השיגור מלבנון יורט על ידי קלע דוד. דיווח: ""הירי כוון למחנה גלילות""",2024-09-25T04:19:40,positive,0.4887312054634094
"צה""ל אחרי הירי למרכז: ""אין שינוי בהנחיות פיקוד העורף, הלימודים יתקיימו כסדרם""",2024-09-25T04:00:45,negative,0.9603200554847717
"צה""ל: האזעקות בגוש דן והשרון - בעקבות שיגור של טיל קרקע-קרקע מלבנון",2024-09-25T03:55:02,negative,0.9603200554847717
"אזעקות נוספות בשורת יישובים בשרון. צה""ל: הפרטים בבדיקה",2024-09-25T03:33:50,negative,0.41923418641090393
אזעקות בתל אביב,2024-09-25T03:30:47,negative,0.41923418641090393
תחזית מזג האוויר: עלייה קלה בטמפרטורות,2024-09-25T03:13:20,negative,0.9902573823928833
"הלמ""ס: בעוד כמה שבועות תגיע אוכלוסיית ישראל ל-10 מיליון בני אדם",2024-09-25T10:00:00,positive,0.4887312054634094
"חשד: מעסה מירושלים הזמין שורד ""נובה"" לטיפול וביצע בו מעשה מגונה",2024-09-25T09:59:51,neutral,0.6368716359138489
"רוטמן הגיע להרצות בארה""ב על הרפורמה המשפטית, מפגינים פוצצו את האירוע",2024-09-25T02:32:45,neutral,0.6976075172424316
"בריטינה לאזרחיה: עזבו מיד את לבנון, נשלח 700 חיילים לקפריסין לסייע בפינוי",2024-09-25T02:21:09,neutral,0.6714268922805786
"דיווח: צה""ל שוב תקף בבקעת הלבנון",2024-09-25T02:00:24,positive,0.5215301513671875
"ראש סבא""א: רואה נכונות מצד איראן לשתף פעולה, אבקר שם באוקטובר",2024-09-25T01:48:38,neutral,0.6976075172424316
קמפיין טראמפ: הוא תודרך על איומים איראניים להתנקש בחייו,2024-09-25T00:55:13,neutral,0.7520488500595093
"דיווחים בלבנון: צה""ל תוקף באל-בקאע שבעומק המדינה",2024-09-25T00:42:07,positive,0.5215301513671875
"פיקוד העורף על החשש לחדירת כלי טיס עוין בצפון הגולן: ""האירוע הסתיים""",2024-09-25T00:20:39,negative,0.831710934638977
התרעות על חדירת כלי טיס עוין בצפון הגולן,2024-09-25T00:01:49,positive,0.4887312054634094
"צה""ל: ההתרעות באצבע הגליל - זיהוי שווא",2024-09-24T23:05:11,negative,0.9603200554847717
"פיקוד העורף על החשש לחדירת כלי טיס עוין בדרום הגולן: ""האירוע הסתיים""",2024-09-24T22:53:36,negative,0.831710934638977
"אזעקות בקריית שמונה, מטולה והסביבה",2024-09-24T22:49:51,negative,0.41923418641090393
"חיזבאללה מאשר: איברהים קובייסי נהרג בתקיפת צה""ל בביירות",2024-09-24T22:47:28,neutral,0.6368716359138489
התרעות על חדירת כלי טיס עוין בדרום הגולן,2024-09-24T22:36:51,positive,0.4887312054634094
"ריאן ראות', שנעצר ליד מועדון הגולף של טראמפ, הואשם בניסיון התנקשות בו",2024-09-24T22:35:39,neutral,0.6976075172424316
"המיליציות הפרו-איראניות לקחו אחריות על שיגור הכטב""ם לערבה",2024-09-24T22:21:02,positive,0.4887312054634094
"צה""ל: כטב""ם חדר לערבה ממזרח ו""נפל במרחב"", אין נפגעים",2024-09-24T21:58:02,negative,0.9603200554847717
"דיווח: צה""ל תקף מחסן נשק של חיזבאללה מדרום לביירות",2024-09-24T21:47:42,positive,0.5215301513671875
"פיקוד העורף על החשש לחדירת כלי טיס עוין בערבה: ""האירוע הסתיים""",2024-09-24T21:43:47,negative,0.831710934638977
דיווח בלבנון על פיצוצים מדרום לביירות,2024-09-24T21:36:38,positive,0.5215301513671875
חשש לחדירת כלי טיס עוין בערבה,2024-09-24T21:23:35,neutral,0.6368716359138489
"נשיא איראן באו""ם: ""ישראל מבצעת רצח עם בתירוץ של הגנה עצמית""",2024-09-24T20:55:01,negative,0.9535043239593506
מועצת הביטחון תכנס מחר דיון חירום על ההסלמה בלבנון,2024-09-24T20:25:24,neutral,0.6437302827835083
הירי לצפון: הנחיות ביטחון ניתנו לתושבי צפת והסביבה,2024-09-24T20:13:41,positive,0.4887312054634094
רוכב אופנוע נהרג מפגיעת רכב בכביש 4,2024-09-24T19:39:05,neutral,0.6976075172424316
דיווח: מערכות הגנה אווירית בסוריה הופעלו פעם נוספת,2024-09-24T19:24:58,positive,0.5215301513671875
"האזעקה בעתלית: שריפה פרצה באזור, אין נפגעים",2024-09-24T18:48:27,positive,0.4887312054634094
דיווחים: תקיפה ישראלית בעיר הנמל השנייה בגודלה בסוריה,2024-09-24T18:43:49,positive,0.5215301513671875
לבנון: לפחות 569 נהרגו מאתמול בתקיפות הישראליות במדינה,2024-09-24T18:34:58,negative,0.7780694365501404
"גלנט עונה למזכ""ל האו""ם: הסיוט שאתה מדבר עליו הוא המציאות",2024-09-24T18:27:47,neutral,0.8213383555412292
"הסתיים האירוע בנהריה: ""לא נמצא דבר""",2024-09-24T18:20:49,positive,0.4887312054634094
"עכשיודיווח: כ-1,500 מחבלי חיזבאללה התעוורו או איבדו יד בפיצוצי הביפרים ומכשירי הקשר",,positive,0.5597041249275208
חברות תעופה נוספות מבטלות טיסות לישראל,2024-09-24T18:11:51,neutral,0.6368716359138489
"הרצוג לרשת CNN: ""הסדר לשחרור החטופים וליום שאחרי בעזה ימנע מלחמה""",2024-09-24T18:09:08,positive,0.4887312054634094
"דובר צה""ל על המצב בצפון: ""שואפים למערכה קצרה ככל הניתן""",2024-09-24T18:02:13,positive,0.5215301513671875
"דובר צה""ל: ""ראש מערך הטילים פיקד הבוקר על הירי לחיפה""",2024-09-24T17:58:15,positive,0.5215301513671875
"תושבת נהריה דיווחה על ""מצנחים"", כוחות צה""ל הוקפצו לעיר",2024-09-24T17:45:40,negative,0.9902573823928833
"חיזבאללה: הכטב""מים לעתלית שוגרו לבסיס שייטת 13",2024-09-24T17:43:41,neutral,0.6368716359138489
בן 14 נהרג מפגיעת רכב באזור השרון,2024-09-24T17:17:28,neutral,0.6714268922805786
"נתניהו נועד עם הרמטכ""ל בקריה",2024-09-24T17:13:54,negative,0.9535043239593506
עשרות מטרות הושמדו בתקיפות בלבנון,2024-09-24T17:13:13,positive,0.5597041249275208
"יורטו 2 כטב""מים ששוגרו לעבר עתלית",2024-09-24T16:55:44,neutral,0.5934463739395142
"אזעקות בגליל התחתון, נפילה באתר השחזור בראש פינה",2024-09-24T16:54:24,negative,0.41923418641090393
מאות במעגלי שיח עם משפחות חטופים בתל אביב,2024-09-24T16:50:48,neutral,0.6437302827835083
דיווח: אלפים נמלטו מלבנון לסוריה עקב התקיפות הישראליות,2024-09-24T16:48:10,positive,0.5215301513671875
אזעקה בגליל העליון,2024-09-24T16:47:36,negative,0.41923418641090393
התרעות נוספות על חדירת כלי טיס עוין בעתלית,2024-09-24T16:43:42,positive,0.4887312054634094
התרעה על חדירת כלי טיס עוין בעתלית,2024-09-24T16:40:56,positive,0.4887312054634094
"עכשיומהבוקר: צה""ל תקף יותר מ-100 מטרות בלבנון",,positive,0.5597041249275208
"עכשיומשרד הבריאות של חמאס: 41,495 הרוגים בעזה מתחילת המלחמה",,positive,0.5597041249275208
"תורגלה לחימה קרקעית בשטח לבנון, גלנט: ""יש לנו מכות נוספות שכבר מוכנות""",2024-09-24T16:38:58,negative,0.9902573823928833
"מנכ""ל משרד ראש הממשלה ופרויקטור הצפון נועדו עם ראשי רשויות",2024-09-24T16:35:18,neutral,0.6437302827835083
אזעקות בצפת וראש פינה,2024-09-24T16:24:17,negative,0.41923418641090393
אזעקה במטולה,2024-09-22T15:54:27,negative,0.41923418641090393
"טראמפ נפגש בפלורידה עם מנהיג קטאר: ""האמיר רוצה שלום במזה""ת ובעולם כולו""",2024-09-22T15:46:24,neutral,0.8986721038818359
"בימים הקרובים: צה""ל יציג חלופות לחלוקת הסיוע ההומניטרי בצפון הרצועה",2024-09-22T15:35:36,neutral,0.6714268922805786
"מפקד בית כלא הוצא לחופשה כפויה, לאחר שנחשד בהצעות רומנטיות לפקודה",2024-09-22T15:16:52,neutral,0.6437302827835083
כתב אישום חמור נגד שוטר מירושלים: תקף מינית שוטרות בסדרת אירועים,2024-09-22T15:12:58,negative,0.5524581074714661
"מזכ""ל האו""ם: ""מודאג שלבנון תהפוך לעוד עזה""",2024-09-22T15:05:00,neutral,0.6437302827835083
"ארה""ב: מודאגים מההסלמה בצפון, ביידן עדיין מחויב לפתרון דיפלומטי",2024-09-22T14:53:17,negative,0.41923418641090393
אזעקה באצבע הגליל,2024-09-22T14:51:36,negative,0.41923418641090393
"ארה""ב: אוסטין וגלנט שוחחו אחרי מטחי חיזבאללה לצפון",2024-09-22T14:34:57,negative,0.41923418641090393
"נתניהו חשף בוועדה בכנסת: ""לפי המידע שבידינו - מחצית מהחטופים בחיים""",2024-09-22T14:29:07,negative,0.9535043239593506
לאחר הערכת מצב: גם מחר לא יתקיימו לימודים פרונטליים בצפון הארץ,2024-09-22T14:25:13,negative,0.7780694365501404
דיווח על תקיפות ארטילריה בדרום לבנון,2024-09-22T14:09:43,positive,0.5215301513671875
"בריטניה קראה לאזרחיה: ""הימנעו מהגעה לישראל - למעט נסיעות הכרחיות""",2024-09-22T14:07:50,neutral,0.6714268922805786
"סגנו של נסראללה מאיים: ""תושבי הצפון לא יחזרו - נכנסנו לקרב חדש""",2024-09-22T13:46:21,negative,0.7264285683631897
הוארך ב-5 ימים מעצר בן ה-17 שחשוד בפיגוע הפלילי ברמלה,2024-09-22T13:41:55,positive,0.4887312054634094
"סגנו של נסראללה בהלוויית עקיל: ""ישראל נכשלה בניסיון לשתק את חיזבאללה""",2024-09-22T13:35:51,negative,0.7264285683631897
"גורם ביטחוני: ""הציבור צריך להיות מעודכן במה שצפוי - יהיו ימים עצימים מאוד""",2024-09-22T13:27:13,neutral,0.8213383555412292
"הנהגות התלמידים וההורים: משהים עד להודעה חדשה את ""השביתה הנודדת""",2024-09-22T13:23:40,positive,0.4887312054634094
הממשלה תפרסם את התבחינים שגובשו בעניין סבסוד מעונות היום,2024-09-22T13:20:34,positive,0.4887312054634094
"פיקוד העורף על החשש לחדירת כלי טיס עוין בגליל: ""האירוע הסתיים""",2024-09-22T13:17:30,negative,0.831710934638977
"נתניהו: ""אנחנו מחלישים את חיזבאללה ומרחיקים אותו מהגבול""",2024-09-22T13:13:10,negative,0.9535043239593506
"אלוף פיקוד הצפון: ""פגענו משמעותית בחיזבאללה ונמשיך ונעמיק את הפגיעה""",2024-09-22T13:10:13,negative,0.41923418641090393
אזעקות באצבע הגליל,2024-09-22T12:57:14,negative,0.41923418641090393
נתניהו סירב להתחייב בוועדת החוץ והביטחון כי לא יפטר את גלנט,2024-09-22T12:51:13,negative,0.9535043239593506
"אישום נגד הנהג של בן גביר, שעבר באדום וגרם לתאונה ליד זירת הפיגוע ברמלה",2024-09-22T12:34:56,negative,0.41923418641090393
בריטניה: בוחנים סנקציות נוספות נגד מתנחלים ביהודה ושומרון,2024-09-22T12:25:51,neutral,0.6714268922805786
"נדחה המשחק בין מכבי חיפה לבית""ר ירושלים בעקבות ההסלמה בצפון",2024-09-22T12:21:49,negative,0.9535043239593506
רוכב קורקינט חשמלי כבן 16 נפצע קשה מפגיעת רכב בחולון,2024-09-22T12:21:17,neutral,0.6976075172424316
"דיווח: פיצוץ מכשירי הקשר - חלק מפיתוח ""הכפתור האדום"" שנלחץ במבצע הביפרים",2024-09-22T12:16:29,positive,0.5215301513671875
"בכיר בחיזבאללה: ""לא היה ואקום בהנהגת הארגון אפילו ליום אחד""",2024-09-22T11:32:16,neutral,0.6714268922805786
"חיזבאללה הודיע על מות פעיל נוסף, משרד הבריאות בלבנון: ""3 הרוגים בתקיפות""",2024-09-22T11:13:21,neutral,0.6368716359138489
"השר כ""ץ לעשרות שרי חוץ: ""אם העולם לא יסיג את חיזבאללה - ישראל תעשה זאת""",2024-09-22T10:54:37,positive,0.4887312054634094
"דיווח: מניין ההרוגים בתקיפה בדאחייה עלה ל-48, החיפוש אחר נעדרים עומד להסתיים",2024-09-22T10:51:06,positive,0.5215301513671875
"המועצה האזורית גליל עליון: שתי נפילות בקיבוץ מנרה, שריפה פרצה במקום",2024-09-22T10:29:15,positive,0.4887312054634094
הפרקליטות תובעת פיצויים בגובה 8 מיליון שקלים מנהג שדרס למוות מתנדב משטרה,2024-09-22T10:26:51,positive,0.4887312054634094
"נתניהו: ""הנחתנו על חיזבאללה רצף מכות שהוא לא דמיין. הוא יבין את המסר""",2024-09-22T10:09:16,negative,0.9535043239593506
"מפעלי ""שירותים קיומיים"" יוכלו להמשיך לעבוד בשטחים שהוכרזו ""במצב מיוחד בעורף""",2024-09-22T10:01:56,neutral,0.6437302827835083
דיווח: פעיל חיזבאללה נהרג בתקיפה בדרום לבנון,2024-09-22T10:00:55,positive,0.5215301513671875
הרצוג: המחוסלים בדאחייה התכנסו לתכנון מתקפה דומה ל-7/10,2024-09-22T09:51:58,positive,0.4887312054634094
"גלנט: ""המהלכים שלנו יימשכו, נפעיל את כל מה שצריך להשגת המטרה""",2024-09-22T09:40:53,neutral,0.8213383555412292
"כמה כטב""מים חדרו לאצבע הגליל, נפילות ברכס רמים",2024-09-22T09:40:24,negative,0.5524581074714661
חשש לחדירת כלי טיס עוין בקריית שמונה והסביבה,2024-09-22T09:19:36,neutral,0.6368716359138489
"צה""ל: 150 רקטות, טילים וכטב""מים שוגרו מהלילה לישראל, אחוזי היירוט היו גבוהים",2024-09-22T09:17:59,negative,0.9603200554847717
"שגרירות איראן בלבנון: ""אסור לתת לישראל להחזיק בנשק גרעיני""",2024-09-22T09:15:41,negative,0.9863505959510803
"דיווח: ""שתי רקטות ששוגרו מדרום סוריה התפוצצו ברמת הגולן""",2024-09-22T09:09:15,positive,0.5215301513671875
"צה""ל מאשר: תקפנו מחבלים ששהו במבנה שהיה בעבר בית ספר ברצועה",2024-09-22T08:59:39,negative,0.9603200554847717
"הרצוג: המלחמה - למען העולם החופשי, אחרת היא תגיע גם לאירופה",2024-09-22T08:58:34,positive,0.4887312054634094
איראן: 51 בני אדם נהרגו בפיצוץ מכרה פחם,2024-09-22T08:50:02,negative,0.41923418641090393
"כוח צה""ל ירה לעבר חשוד שיידה אבנים בשכם. הפלסטינים: 2 נערים נפצעו בחילופי אש",2024-09-22T08:45:36,negative,0.5524581074714661
הפלסטינים: 6 הרוגים בתקיפת בית ספר בצפון הרצועה,2024-09-22T08:35:14,positive,0.4887312054634094
"גורם צבאי: ""הפעולות בלבנון מנעו בוקר קשה יותר, פנינו להעצים את התקיפות""",2024-09-22T08:30:34,neutral,0.8213383555412292
"חיזבאללה הודיע על הרוג נוסף משורותיו, ה-501 מתחילת המלחמה",2024-09-22T08:24:22,neutral,0.6368716359138489
"ארה""ב: 4 הרוגים באירוע ירי באלבמה",2024-09-22T08:01:55,negative,0.41923418641090393
"כטב""ם שהגיע מעיראק יורט בדרום הגולן, צה""ל השלים סבב תקיפות נוסף בדרום לבנון",2024-09-22T07:54:51,negative,0.5524581074714661
בלבנון מדווחים: ישראל תקפה יותר מ-60 פעמים מהבוקר,2024-09-22T07:43:54,neutral,0.6714268922805786
מסביר פיקוד העורף: רוב נפגעי הירי הרקטי היו בשטחים פתוחים ולא שכבו על הקרקע,2024-09-22T07:43:08,neutral,0.6437302827835083
"נציגת האו""ם בלבנון  הזהירה מ""קטסטרופה קרובה"": ""אין פתרון צבאי למצב""",2024-09-22T07:26:32,negative,0.9535043239593506
"פיקוד העורף על החשש לחדירת כלי טיס לדרום הגולן: ""האירוע הסתיים""",2024-09-22T07:11:20,negative,0.831710934638977
משרד הבריאות בלבנון: הרוג ופצוע בתקיפה בדרום המדינה,2024-09-22T07:08:50,neutral,0.6437302827835083
"יועז הנדל: ""אנחנו בכישלון מוחלט בצפון, אין מנוס מלבד שביירות תבער""",2024-09-22T07:06:03,neutral,0.5934463739395142
אזעקות וחשש לחדירת כלי טיס עוין בדרום רמת הגולן,2024-09-22T07:01:15,negative,0.41923418641090393
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",2024-09-22T06:50:14,positive,0.933696448802948
כל בתי החולים בצפון עוברים לעבודה במרחבים מוגנים,2024-09-22T06:47:21,negative,0.5524581074714661
בלבנון מעדכנים: מניין ההרוגים בתקיפה בדאחייה עלה ל-45,2024-09-22T06:35:44,neutral,0.6714268922805786
אתרי רשות הטבע והגנים ייסגרו מקו חיפה וצפונה,2024-09-22T05:51:17,negative,0.41923418641090393
"ישיבת הקבינט בוטלה, ישיבת הממשלה תתקיים ב-12:00",2024-09-22T05:49:45,neutral,0.5934463739395142
דיווחים בלבנון: תקיפות בדרום המדינה,2024-09-22T05:37:04,positive,0.5215301513671875
עקב הרחבת טווח הירי: גם הלימודים ביקנעם עילית בוטלו,2024-09-22T05:34:05,positive,0.5597041249275208
"בעקבות ההסלמה: קו הסיוע של עמותת נט""ל תוגבר",2024-09-22T05:30:32,neutral,0.6714268922805786
"דובר צה""ל בערבית: חיזבאללה שיגר כ-115 רקטות לעבר אזורים אזרחיים בצפון",2024-09-22T05:23:48,positive,0.5215301513671875
"צה""ל תוקף בלבנון, אחרי המטחים לקריות ולעמק יזרעאל",2024-09-22T05:13:00,negative,0.9603200554847717
"אל-ג'זירה: צה""ל פשט על משרדינו ברמאללה והורה על סגירתם ל-45 ימים",2024-09-22T05:08:34,negative,0.41923418641090393
"חיזבאללה: ""שיגרנו עשרות טילים למתקן של רפאל בקריות בתגובה למתקפות הביפרים""",2024-09-22T04:44:00,neutral,0.6368716359138489
"צה""ל: 85 רקטות שוגרו תוך חצי שעה לקריות ולאזורים אחרים בצפון",2024-09-22T04:42:16,negative,0.9603200554847717
"רקטה פגעה בחצר בית בגליל התחתון, נזק רב נגרם לרכוש",2024-09-22T04:36:07,neutral,0.6976075172424316
"מועצה אזורית גולן: נפילות בקרבת מושב רמות, שריפה פרצה במקום",2024-09-22T04:25:43,neutral,0.6437302827835083
"הירי לקריית ביאליק: גבר נפצע באורח בינוני, בן 70 ובת 16 במצב קל",2024-09-22T04:21:01,positive,0.4887312054634094
גבר נפצע באורח בינוני מפגיעת רסיסים בג'דיידה מכר,2024-09-22T04:14:00,neutral,0.8213383555412292
האזעקה בערבה: יורטה מטרה אווירית חשודה שעשתה דרכה לישראל ממזרח,2024-09-22T04:08:54,positive,0.4887312054634094
שריפה פרצה בעקבות נפילה בקריית ביאליק,2024-09-22T04:04:38,negative,0.9863505959510803
מטח נוסף לקריות,2024-09-22T04:01:21,neutral,0.6437302827835083
"הירי מלבנון: 3 נפצעו באורח קל בקריות ובגליל התחתון, זוהו נפילות במחוז חוף",2024-09-22T03:59:46,positive,0.4887312054634094
אזעקות בכינרת,2024-09-22T03:55:30,negative,0.41923418641090393
במטח האחרון: פגיעה בשני בתים בקריית ביאליק,2024-09-22T03:49:17,neutral,0.6714268922805786
"הירי לצפון: צוותי מד""א יצאו לסריקות בכמה אזורים אחרי שהתקבלו קריאות",2024-09-22T03:46:16,positive,0.4887312054634094
חשש לחדירת כלי טיס עוין בערבה,2024-09-22T03:35:00,neutral,0.6368716359138489
